bin	count	type
1	106822	ins
1	134418	del
2	28398	ins
2	36650	del
3	17316	ins
3	22494	del
4	12360	ins
4	16108	del
5	9515	ins
5	12427	del
6	7512	ins
6	9837	del
7	6325	ins
7	8260	del
8	5366	ins
8	7183	del
9	4621	ins
9	5954	del
10	4084	ins
10	5370	del
11	3537	ins
11	4817	del
12	3308	ins
12	4288	del
13	2899	ins
13	3827	del
14	2520	ins
14	3401	del
15	2297	ins
15	3068	del
16	2021	ins
16	2634	del
17	1809	ins
17	2454	del
18	1724	ins
18	2268	del
19	1633	ins
19	2133	del
20	1409	ins
20	1925	del
21	1383	ins
21	1830	del
22	1186	ins
22	1695	del
23	1205	ins
23	1510	del
24	1088	ins
24	1458	del
25	1009	ins
25	1346	del
26	892	ins
26	1168	del
27	801	ins
27	1094	del
28	769	ins
28	1036	del
29	760	ins
29	958	del
30	695	ins
30	966	del
31	744	ins
31	906	del
32	657	ins
32	809	del
33	598	ins
33	837	del
34	576	ins
34	790	del
35	515	ins
35	742	del
36	467	ins
36	630	del
37	459	ins
37	556	del
38	397	ins
38	552	del
39	381	ins
39	495	del
40	377	ins
40	496	del
41	328	ins
41	397	del
42	322	ins
42	437	del
43	289	ins
43	387	del
44	239	ins
44	361	del
45	238	ins
45	337	del
46	223	ins
46	332	del
47	220	ins
47	276	del
48	202	ins
48	297	del
49	227	ins
49	271	del
50	154	ins
50	199	del
51	160	ins
51	185	del
52	159	ins
52	221	del
53	155	ins
53	201	del
54	120	ins
54	205	del
55	135	ins
55	178	del
56	140	ins
56	174	del
57	109	ins
57	164	del
58	114	ins
58	171	del
59	146	ins
59	175	del
60	107	ins
60	145	del
61	106	ins
61	135	del
62	106	ins
62	131	del
63	97	ins
63	145	del
64	98	ins
64	126	del
65	77	ins
65	108	del
66	82	ins
66	129	del
67	66	ins
67	90	del
68	71	ins
68	92	del
69	69	ins
69	91	del
70	52	ins
70	59	del
71	32	ins
71	55	del
72	50	ins
72	64	del
73	46	ins
73	70	del
74	50	ins
74	44	del
75	53	ins
75	44	del
76	44	ins
76	63	del
77	37	ins
77	58	del
78	57	ins
78	49	del
79	33	ins
79	39	del
80	36	ins
80	51	del
81	37	ins
81	39	del
82	34	ins
82	37	del
83	24	ins
83	40	del
84	36	ins
84	39	del
85	34	ins
85	46	del
86	40	ins
86	41	del
87	27	ins
87	41	del
88	36	ins
88	56	del
89	39	ins
89	53	del
90	28	ins
90	32	del
91	20	ins
91	33	del
92	19	ins
92	19	del
93	16	ins
93	11	del
94	13	ins
94	22	del
95	11	ins
95	12	del
96	10	ins
96	15	del
97	12	ins
97	5	del
98	11	ins
98	18	del
99	16	ins
99	17	del
100	8	ins
100	13	del
101	5	ins
101	9	del
102	20	ins
102	13	del
103	8	ins
103	11	del
104	12	ins
104	11	del
105	14	ins
105	12	del
106	10	ins
106	12	del
107	14	ins
107	14	del
108	16	ins
108	7	del
109	8	ins
109	9	del
110	5	ins
110	10	del
111	3	ins
111	12	del
112	11	ins
112	6	del
113	3	ins
113	3	del
114	3	ins
114	11	del
115	4	ins
115	3	del
116	8	ins
116	11	del
117	7	ins
117	11	del
118	4	ins
118	6	del
119	7	ins
119	7	del
120	5	ins
120	7	del
121	4	ins
121	8	del
122	5	ins
122	7	del
123	3	ins
123	14	del
124	0	ins
124	6	del
125	2	ins
125	5	del
126	3	ins
126	2	del
127	4	ins
127	5	del
128	4	ins
128	9	del
129	4	ins
129	6	del
130	7	ins
130	7	del
131	1	ins
131	1	del
132	6	ins
132	3	del
133	6	ins
133	3	del
134	5	ins
134	2	del
135	10	ins
135	4	del
136	5	ins
136	8	del
137	2	ins
137	1	del
138	0	ins
138	0	del
139	1	ins
139	1	del
140	1	ins
140	0	del
141	1	ins
141	1	del
142	2	ins
142	0	del
143	0	ins
143	1	del
144	0	ins
144	0	del
145	0	ins
145	0	del
146	1	ins
146	0	del
147	0	ins
147	0	del
148	1	ins
148	0	del
149	2	ins
149	1	del
150	1	ins
150	0	del
151	2	ins
151	0	del
152	0	ins
152	0	del
153	3	ins
153	0	del
154	1	ins
154	0	del
155	1	ins
155	0	del
156	3	ins
156	0	del
157	1	ins
157	1	del
