"category","variation","seg_sites","theta_w","pi","tajD","sfs","callable","tw_per_site","pi_per_site"
"0fold","SNP",42200,11894.8976188,8785.71578948,-1.09723952354,"raw",14989294,0.000793559564499836,0.000586132728431372
"0fold","INS",198,55.8101831405,43.3421052632,-0.927555659744,"raw",11862423,4.70478781109896e-06,3.65373122027431e-06
"0fold","DEL",449,126.559455707,85.9894736842,-1.3391398523,"raw",11862423,1.0668938016036e-05,7.2488962570463e-06
"0fold","INDEL",1606,452.682596584,344.942105263,-0.997764951371,"raw",14989294,3.02003948007158e-05,2.30125651857252e-05
"4fold","SNP",53479,15074.1049706,13098.5526316,-0.550145825766,"raw",3547049,0.0042497594396356,0.00369280284303938
"4fold","INS",43,12.1203933083,10.2,-0.63343985859,"raw",2517582,4.81429931906885e-06,4.05150656463225e-06
"4fold","DEL",238,67.0849676133,44.9473684211,-1.3726381374,"raw",2517582,2.66465869287674e-05,1.78533880608854e-05
"4fold","INDEL",811,228.596255187,175.5,-0.972423770947,"raw",3547049,6.44468839271744e-05,4.94777489682268e-05
"ALL","SNP",10259689,2891894.55583,2610869.58972,-0.407944502952,"raw",842447943,0.00343272789714676,0.00309914649494254
"ALL","INS",254040,71606.1561869,65977.9157894,-0.329956915639,"raw",582218059,0.000122988552278657,0.000113321658044619
"ALL","DEL",329506,92877.7283126,82463.3157896,-0.470716057024,"raw",582218059,0.000159523956491703,0.000141636478832753
"ALL","INDEL",1162517,327678.215525,299534.410526,-0.360556349042,"raw",842447943,0.000388959600706153,0.000355552426728401
"AR","SNP",278079,78382.0197855,73547.3842105,-0.258930122407,"raw",17029952,0.00460259781034615,0.00431870766344497
"AR","INS",6029,1699.39188967,1611.67368421,-0.216608801924,"raw",13802063,0.000123125933396334,0.0001167704917888
"AR","DEL",9167,2583.89873156,2412.34736842,-0.278646083285,"raw",13802063,0.000187211051823195,0.00017478165172989
"AR","INDEL",23180,6533.737602,6179.08421053,-0.227845174839,"raw",17029952,0.000383661539504046,0.000362836266980083
"cds_frameshift","SNP",NA,NA,NA,NA,"raw",23999718,NA,NA
"cds_frameshift","INS",163,45.9447467268,35.0631578947,-0.981062251361,"raw",18439769,2.49161183780556e-06,1.90149659112866e-06
"cds_frameshift","DEL",213,60.0382273178,41.3263157895,-1.29502378421,"raw",18439769,3.25590994755954e-06,2.24115149107887e-06
